coin,symbol,price,date,mkt_cap_to_volume_ratio,price_change_7d,price_change_24h,liquidity_ratio,moving_average_mkt_cap_7d,std_dev_price_7d
agEUR,AGEUR,1.1,2022-03-16,30.355557345280534,0.3120291604444678,-0.3829034947136797,0.03294289703283847,96971634.71428572,1085.2547535031617
agEUR,AGEUR,1.11,2022-03-17,54.38302243420802,-0.6791907514450867,0.009090909090909038,0.018388091636682917,101689624.0,1085.4837696209875
SingularityNET,AGIX,0.084142124159,2022-03-16,85.14443932500144,-0.9762979931946478,-0.3829034947136797,0.01174474819410038,100048198.42857143,1085.8214699636974
SingularityNET,AGIX,0.082793325047,2022-03-17,60.60490757140334,-0.6176552013383148,-0.01603001024137718,0.016500313919657783,99391193.57142857,1085.8345286886822
Adventure Gold,AGLD,1.1,2022-03-16,1.4863988662226086,4.03480883746264,0.44748152752535253,0.20762941343720714,100228469.28571428,1085.7485184337597
Adventure Gold,AGLD,1.11,2022-03-17,1.5201654757403646,-0.9994946252714682,0.009090909090909038,0.20762941343720714,95801923.71428572,851.9114632780671
AIOZ Network,AIOZ,0.237396,2022-03-16,8.326955320174648,-0.9998947110714903,-0.3829034947136797,0.12009191373672776,94874014.14285715,0.5211540884239876
AIOZ Network,AIOZ,0.214561,2022-03-17,18.777383614541,-0.8049445454545454,-0.09618948929215321,0.05325555575408338,93079202.14285715,0.5122039606640227
Akash Network,AKT,1.09,2022-03-16,82.6400076315662,-0.018018018018018056,0.44748152752535253,0.012100676520485068,97256264.71428572,0.5086859210939059
Akash Network,AKT,1.14,2022-03-17,101.43270899383454,12.54850512028657,0.04587155963302725,0.009858752762491868,108264789.71428572,0.500599529561627
AllianceBlock,ALBT,0.222035,2022-03-16,144.03355697923257,1.6817983197794688,-0.3829034947136797,0.006942826525794851,110004959.0,0.4735261747742862
AllianceBlock,ALBT,0.229837,2022-03-17,234.00583216926708,-0.7910572727272727,0.03513860427410087,0.004273397764191854,110558947.85714285,0.4745960820241715
Alchemix,ALCX,17.790167875,2022-03-16,13.011064867173467,51.66064267448294,0.44748152752535253,0.07685766001543583,114236610.14285715,35.764586521008354
Alchemix,ALCX,17.790167875,2022-03-17,16.467806382354357,51.66064267448294,0.018814378810174448,0.0607245419809844,114339572.0,46.58219886096312
Algorand,ALGO,0.731009,2022-03-16,31.831841123276472,2.406998475957886,-0.3829034947136797,0.03141508516982285,788864248.4285715,46.53151111706274
Algorand,ALGO,0.755697,2022-03-17,36.223151687536955,-0.3067000000000001,0.03377249801302029,0.027606653574102524,1483973902.4285715,46.563805236802494
My Neighbor Alice,ALICE,6.07,2022-03-16,1.0586720188514787,4.324561403508772,0.44748152752535253,0.20762941343720714,1477423662.5714285,46.12721577137999
My Neighbor Alice,ALICE,6.27,2022-03-17,1.093204117713035,27.23879118157047,0.03294892915980219,0.20762941343720714,1480805056.857143,45.56062740250084
Alpha Finance,ALPHA,0.279294,2022-03-16,16.79526633451515,0.215182933992351,-0.3829034947136797,0.05954058602482222,1485865041.2857144,45.55534502244112
Alpha Finance,ALPHA,0.280024,2022-03-17,21.82185634021243,-0.9970567164179105,0.002613733198708168,0.04582561558510678,1487773032.857143,35.82984084719673
Alpine F1 Team Fan Token,ALPINE,8.76,2022-03-16,0.6508661406357202,-0.9096255029402662,0.44748152752535253,0.20762941343720714,1485629249.0,3.5968321639250815
Alpine F1 Team Fan Token,ALPINE,10.0,2022-03-17,0.5031190464598952,12.679722137483942,0.14155251141552516,0.20762941343720714,812660403.8571428,4.1536761638122295
Alchemix USD,ALUSD,0.997171,2022-03-16,68.88118707410541,0.31953812176044116,-0.3829034947136797,0.01451775212474425,126664124.28571428,4.116970992054737
Alchemix USD,ALUSD,0.998794,2022-03-17,266.05859022340087,-0.8354540362438221,0.0016276044931109457,0.0006833285055998199,141493492.7142857,4.27184628333255
Amp,AMP,0.025036137658,2022-03-16,148.2891820395756,-0.9960069955888358,-0.3829034947136797,0.006743580254782974,297150063.14285713,4.355611796248619
Amp,AMP,0.025125131288,2022-03-17,178.72629429233095,-0.9100405619597987,0.0035546069931262636,0.005595147619210217,451837656.0,4.3835155050676295
Ampleforth,AMPL,1.12,2022-03-16,9.291055490563622,2.9996571722423795,0.44748152752535253,0.10763039796884662,447048615.4285714,4.307085440382884
Ampleforth,AMPL,1.07,2022-03-17,64.75462636973728,-0.8778538812785388,-0.044642857142857206,0.015442912052185735,445346690.14285713,3.5458902825539145
Anchor Protocol,ANC,3.1,2022-03-16,7.510354819040258,-0.69,0.44748152752535253,0.13314950146760032,544420557.4285715,1.0258415144892579
Anchor Protocol,ANC,2.85,2022-03-17,9.690277458612702,1.858085523947247,-0.08064516129032262,0.10319621953767709,622360676.2857143,1.229378799930958
Ankr,ANKR,0.072181812557,2022-03-16,14.403607694731976,-0.9277310310664661,-0.3829034947136797,0.06942705058301077,676443531.5714285,1.3156707946161943
